epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.64,1.01213,2.1998,1.09524,1,0.04857,0.94312,0.76499,0.59782,3.5641,0.87511,0.000545564,0.000545564,0.000545564
2,630.994,0.79941,1.20345,0.97972,1,0.9956,0.995,0.79097,0.72562,1.5838,1.00221,0.00109033,0.00109033,0.00109033
